term_id	label	facet	parent_id	synonyms	crosslink_targets	curation_note	enables_host_recovery
BACC:0000075	sewage	environmental_material	BACC:0000074	hospital sewage			false
BACC:0000076	sludge	environmental_material	BACC:0000074				false
BACC:0000077	activated sludge	environmental_material	BACC:0000076				false
BACC:0000078	biofilm	environmental_material					false
BACC:0000101	air	environmental_material					false
BACC:0000102	dust	environmental_material					false
BACC:0000079	healthcare facility	facility					false
BACC:0000080	intensive care unit	facility	BACC:0000079				false
BACC:0000081	laboratory facility	facility					false
BACC:0000082	farm facility	facility					false
BACC:0000083	food production facility	facility					false
BACC:0000084	food processing plant	facility	BACC:0000083				false
BACC:0000085	abattoir	facility	BACC:0000083	slaughterhouse;slaughter house			false
BACC:0000086	wastewater treatment plant	facility		wwtp;waste water treatment plant;sewage treatment plant			false
BACC:0000087	inanimate object	sampled_object					false
BACC:0000088	sink	sampled_object	BACC:0000087				false
BACC:0000089	drain	sampled_object	BACC:0000087				false
BACC:0000090	equipment	sampled_object	BACC:0000087				false
BACC:0000091	medical device	sampled_object	BACC:0000087	clinical device			false
BACC:0000092	catheter	sampled_object	BACC:0000091	vascular catheter;urinary catheter			false
BACC:0000093	surface	sampled_object		environmental surface		Use when the surface itself was sampled, not the whole object.	false
BACC:0000094	plant food product	food_type					true
BACC:0000095	animal food product	food_type					true
BACC:0000096	dairy food product	food_type	BACC:0000095	dairy product			true
BACC:0000097	meat product	food_type	BACC:0000095	meat;ground turkey;ground beef;chicken meat;pork;chicken breast;beef;pork chop;broiler meat;comminuted beef;product raw intact beef;chicken thighs			true
BACC:0000098	seafood product	food_type	BACC:0000095				true
BACC:0000099	fermented food	food_type					false
BACC:0000100	animal feed	food_type		feed		An organism named in feed is not the bacterial host.	false
